fips,fy,oblig,oblig_pc,oblig_pos,oblig_pos_pc,pop
55075,2008,564035480.9428914,13423.343747897174,564470792.6418643,13433.703625547118,42019
48241,2008,252661320.07266396,7184.001139399033,252803591.6269217,7188.046392576676,35170
48489,2008,83184136.29222147,3822.2734132344563,83194439.19320159,3822.7468268713683,21763
51810,2008,3359114760.9286714,7751.845035154815,3388851285.558864,7820.468153810514,433331
42029,2008,4788253018.6370945,9742.657315126355,4800255736.876305,9767.079243165555,491473
16075,2008,101592591.1501746,4491.669959774277,101636417.84654246,4493.607650833073,22618
06013,2008,5970046236.933427,5833.860595199099,6040944641.968313,5903.141702075072,1023344
06085,2009,21216477751.69458,12019.734304869582,21370472805.974728,12106.976855606521,1765137
12086,2009,2785196835.409981,1130.3820077858866,2978871485.1597114,1208.9855508669282,2463943
55057,2009,203711764.30208462,7621.661340245609,204301343.0970682,7643.719810575733,26728
21217,2009,232907482.29113573,9558.315848940605,232956001.62475765,9560.307039223444,24367
45079,2009,9172780315.411133,24123.342359297643,9220317782.31436,24248.360352705124,380245
12103,2009,26400969150.13422,28843.115761675264,26469769753.59571,28918.280569407438,915330
51013,2009,14367790925.526846,70904.08427644924,14718735812.252659,72635.97374740377,202637
08031,2009,8639563338.02854,14667.915095012724,8754161227.654427,14862.474941307422,589011
37133,2009,2857128426.2626543,16509.085807924548,2910188605.7056684,16815.678625859036,173064
26049,2009,3531278667.275882,8250.863146660035,3538274019.6913013,8267.207848078575,427989
23029,2009,412671893.9940307,12533.6945784064,412912198.30538857,12540.99311481818,32925
42019,2009,1587053304.8906758,8656.481260687564,1590761573.2550306,8676.707774508313,183337
17043,2009,8342965563.566316,9140.651980610208,8438376816.629511,9245.185680604505,912732
21047,2009,1337730109.6114216,18211.063746292682,1378506644.1227279,18766.17128555111,73457
13135,2009,2515843810.62998,3159.5122930114435,2528128229.7062,3174.9396311155933,796276
37095,2009,197285672.74024144,34167.93777974393,197593614.47208792,34221.27025841495,5774
30091,2009,31893171.528272934,9416.348251630627,32031069.088096272,9457.062027781598,3387
42043,2009,27023807455.594444,101178.65684074449,27170980923.373528,101729.68259153666,267090
06103,2009,487844323.9069964,7756.981506209098,488504364.6935195,7767.476502099179,62891
